ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source,Usages,Type,Condition,Examples
yuk-P_Split_or_Fluid,yuk,P_Split_or_Fluid,split-fluid,,,,,,,
yuk-P_TAM_DM,yuk,P_TAM_DM,no,,,,,,,
yuk-P_WO_DM,yuk,P_WO_DM,no,,,,,,,
yuk-P_Other_DM,yuk,P_Other_DM,no,,,,,,,
yuk-P_Animacy_Scale,yuk,P_Animacy_Scale,fit,,,,,,,
yuk-P_Pronom_Scale,yuk,P_Pronom_Scale,none,,,,,,,
yuk-P_Def_Scale,yuk,P_Def_Scale,fit,,,,,,,
yuk-P_Person_Scale,yuk,P_Person_Scale,none,,,,,,,
qub-A_Marking_Type,qub,A_Marking_Type,none,,,,,,,
qub-A_Marking_Contrast,qub,A_Marking_Contrast,?,,,,,,,
qub-A_Local_or_Global,qub,A_Local_or_Global,?,,,,,,,
qub-A_Split_or_Fluid,qub,A_Split_or_Fluid,?,,,,,,,
qub-A_TAM_DM,qub,A_TAM_DM,?,,,,,,,
qub-A_WO_DM,qub,A_WO_DM,?,,,,,,,
qub-A_Other_DM,qub,A_Other_DM,?,,,,,,,
qub-A_Animacy_Scale,qub,A_Animacy_Scale,?,,,,,,,
qub-A_Pronom_Scale,qub,A_Pronom_Scale,?,,,,,,,
qub-A_Def_Scale,qub,A_Def_Scale,?,,,,,,,
qub-A_Person_Scale,qub,A_Person_Scale,?,,,,,,,
qub-P_Marking_Type,qub,P_Marking_Type,differential,,,,,,,
qub-P_Marking_Contrast,qub,P_Marking_Contrast,zero_nonzero,,,,,,,
qub-P_Local_or_Global,qub,P_Local_or_Global,local,,,,,,,
qub-P_Split_or_Fluid,qub,P_Split_or_Fluid,split-fluid,,,,,,,
qub-P_TAM_DM,qub,P_TAM_DM,no,,,,,,,
qub-P_WO_DM,qub,P_WO_DM,no,,,,,,,
qub-P_Other_DM,qub,P_Other_DM,yes,,,,,,,
qub-P_Animacy_Scale,qub,P_Animacy_Scale,none,,,,,,,
